ReviewID,SubmissionID,ReviewerID,Recommendation,HasConflict
1,1,4,Accept,False
2,1,5,Accept,False
3,1,6,Accept,False
4,2,4,Accept,False
5,2,5,Accept,False
6,2,6,Accept,False
7,3,4,Accept,False
8,3,5,Accept,False
9,3,6,Accept,False
10,4,4,Accept,False
11,4,5,Accept,False
12,4,6,Accept,False
13,5,4,Accept,False
14,5,5,Accept,False
15,5,6,Accept,False
16,6,4,Accept,False
17,6,5,Accept,False
18,6,6,Accept,False
19,7,4,Accept,False
20,7,5,Accept,False
21,7,6,Accept,False
22,8,4,Accept,False
23,8,5,Accept,False
24,8,6,Accept,False
25,9,4,Accept,False
26,9,5,Accept,False
27,9,6,Accept,False
28,10,4,Accept,False
29,10,5,Accept,False
30,10,6,Accept,False
31,11,4,Accept,False
32,11,5,Accept,False
33,11,6,Accept,False
34,12,4,Accept,False
35,12,5,Accept,False
36,12,6,Accept,False
37,13,4,Accept,False
38,13,5,Accept,False
39,13,6,Accept,False
40,14,4,Accept,False
41,14,5,Accept,False
42,14,6,Accept,False
43,15,4,Accept,False
44,15,5,Accept,False
45,15,6,Accept,False
46,16,4,Accept,False
47,16,5,Accept,False
48,16,6,Accept,False
49,17,4,Accept,False
50,17,5,Accept,False
51,17,6,Accept,False
52,18,4,Accept,False
53,18,5,Accept,False
54,18,6,Accept,False
55,19,4,Accept,False
56,19,5,Accept,False
57,19,6,Accept,False
